Time Stamp;Signal Strength %;Eeg Power Delta;Eeg Power Theta;Eeg Power Low Alpha;Eeg Power High Alpha;Eeg Power Low Beta;Eeg Power High Beta;Eeg Power Low Gamma;Eeg Power High Gamma;Attention Level;Meditation Level;Blink Strength;Mental Effort;Task Familiarity
2020-04-18 11:43:35;100;12588,00;23436,00;1562,00;9931,00;4253,00;9911,00;7421,00;3346,00;53,00;77,00;-1,00;0,00;0,00
2020-04-18 11:43:36;100;5653,00;24285,00;13084,00;5205,00;10009,00;4502,00;8191,00;2464,00;60,00;83,00;-1,00;0,00;0,00
2020-04-18 11:43:37;100;5066,00;14026,00;10728,00;13690,00;6001,00;4311,00;8902,00;2081,00;66,00;84,00;-1,00;0,00;0,00
2020-04-18 11:43:38;100;102818,00;50813,00;9397,00;13999,00;9455,00;9889,00;14201,00;1609,00;56,00;67,00;-1,00;0,00;0,00
2020-04-18 11:43:39;100;15676,00;2670,00;1392,00;1719,00;1544,00;3259,00;1877,00;1030,00;64,00;74,00;-1,00;0,00;0,00
2020-04-18 11:43:40;100;440740,00;132533,00;23440,00;27891,00;7878,00;12000,00;6349,00;5018,00;57,00;67,00;-1,00;0,00;0,00
2020-04-18 11:43:41;100;7676,00;3509,00;2019,00;1365,00;2358,00;1591,00;2477,00;1123,00;66,00;56,00;-1,00;0,00;0,00
2020-04-18 11:43:42;100;8594,00;5043,00;631,00;3048,00;10296,00;3687,00;4054,00;1655,00;83,00;50,00;-1,00;0,00;0,00
2020-04-18 11:43:43;100;16793,00;18343,00;7698,00;6941,00;6103,00;13833,00;5143,00;4745,00;78,00;48,00;-1,00;0,00;0,00
2020-04-18 11:43:44;100;903602,00;60747,00;28047,00;13747,00;18050,00;7136,00;5215,00;2953,00;80,00;54,00;-1,00;0,00;0,00
2020-04-18 11:43:45;74;388728,00;8905,00;2383,00;6162,00;3316,00;6275,00;1577,00;537,00;80,00;54,00;-1,00;0,00;0,00
2020-04-18 11:43:47;87;50,00;19,00;7,00;5,00;3,00;2,00;1,00;1,00;80,00;54,00;-1,00;0,00;0,00
2020-04-18 11:43:49;100;633758,00;84078,00;54578,00;59941,00;23196,00;28022,00;9652,00;20372,00;74,00;61,00;-1,00;0,00;0,00
2020-04-18 11:43:50;100;13917,00;33669,00;14439,00;8000,00;8573,00;5539,00;4052,00;3820,00;53,00;74,00;-1,00;0,00;0,00
2020-04-18 11:43:51;100;153997,00;111430,00;42404,00;9707,00;27111,00;25795,00;17152,00;7255,00;50,00;60,00;-1,00;0,00;0,00
2020-04-18 11:43:52;100;495885,00;123814,00;14670,00;14668,00;21093,00;7016,00;20076,00;5410,00;35,00;35,00;-1,00;0,00;0,00
2020-04-18 11:43:53;100;8575,00;10958,00;2712,00;376,00;1714,00;1243,00;1017,00;949,00;34,00;24,00;-1,00;0,00;0,00
2020-04-18 11:43:54;100;856,00;4878,00;2539,00;1522,00;1320,00;1738,00;245,00;220,00;38,00;43,00;-1,00;0,00;0,00
2020-04-18 11:43:55;100;4111,00;16585,00;4634,00;1540,00;1160,00;1063,00;399,00;483,00;23,00;43,00;-1,00;0,00;0,00
2020-04-18 11:43:56;100;29798,00;10339,00;7002,00;12178,00;15522,00;10985,00;6237,00;3021,00;50,00;56,00;-1,00;0,00;0,00
2020-04-18 11:43:57;100;38687,00;58958,00;32394,00;17720,00;23442,00;28395,00;3700,00;4922,00;64,00;66,00;-1,00;0,00;0,00
2020-04-18 11:43:58;100;83468,00;15079,00;1013,00;533,00;1143,00;743,00;404,00;408,00;43,00;41,00;-1,00;2,22;-24,98
2020-04-18 11:44:00;100;675941,00;48027,00;14865,00;9627,00;24735,00;11513,00;7073,00;2640,00;60,00;40,00;-1,00;0,00;0,00
2020-04-18 11:44:01;100;29475,00;15508,00;5627,00;4526,00;13214,00;9792,00;4183,00;2405,00;61,00;27,00;-1,00;0,00;0,00
2020-04-18 11:44:02;100;245769,00;169585,00;38643,00;14277,00;70630,00;13405,00;9089,00;3871,00;43,00;16,00;-1,00;0,00;0,00
2020-04-18 11:44:03;100;43123,00;12573,00;5080,00;19786,00;15503,00;12600,00;9837,00;5125,00;69,00;44,00;-1,00;0,00;0,00
2020-04-18 11:44:04;100;259300,00;188668,00;27892,00;10530,00;23786,00;8322,00;4428,00;1874,00;87,00;50,00;-1,00;0,00;0,00
2020-04-18 11:44:06;100;12425,00;19586,00;12848,00;8433,00;14830,00;9590,00;7170,00;2674,00;70,00;57,00;-1,00;0,00;0,00
2020-04-18 11:44:07;100;41472,00;44736,00;6893,00;9079,00;9209,00;8730,00;4302,00;4189,00;63,00;44,00;-1,00;0,00;0,00
2020-04-18 11:44:08;100;866364,00;67900,00;36341,00;46214,00;34150,00;13517,00;8884,00;10766,00;66,00;54,00;-1,00;2,22;-25,45
2020-04-18 11:44:10;100;70054,00;23037,00;6897,00;14242,00;8371,00;12651,00;6694,00;2107,00;74,00;60,00;-1,00;0,00;0,00
2020-04-18 11:44:11;100;1016986,00;639536,00;21087,00;57434,00;66204,00;51239,00;27381,00;3569,00;78,00;30,00;-1,00;0,00;0,00
2020-04-18 11:44:12;74;1132884,00;17826,00;6978,00;5020,00;2815,00;7815,00;1523,00;639,00;78,00;30,00;-1,00;0,00;0,00
2020-04-18 11:44:13;100;1717838,00;127074,00;25066,00;11657,00;10429,00;10716,00;4546,00;1774,00;63,00;35,00;-1,00;0,00;0,00
2020-04-18 11:44:14;100;396265,00;100295,00;59319,00;30757,00;5357,00;12171,00;11150,00;7077,00;47,00;40,00;-1,00;0,00;0,00
2020-04-18 11:44:15;74;1826038,00;73664,00;16986,00;24731,00;6388,00;9918,00;1811,00;1299,00;47,00;40,00;255,00;0,00;0,00
2020-04-18 11:44:16;87;908348,00;62633,00;11167,00;5670,00;4088,00;3653,00;1173,00;1325,00;47,00;40,00;-1,00;0,00;0,00
2020-04-18 11:44:17;74;468605,00;121287,00;19834,00;11801,00;5972,00;3652,00;1899,00;582,00;47,00;40,00;-1,00;0,00;0,00
2020-04-18 11:44:18;87;497604,00;3684,00;4750,00;25319,00;10099,00;18214,00;1471,00;518,00;47,00;40,00;-1,00;0,00;0,00
2020-04-18 11:44:19;100;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-1,00;-1,00;-1,00;2,27;-16,58
2020-04-18 11:44:20;100;766903,00;15671,00;5265,00;3036,00;1249,00;776,00;402,00;196,00;24,00;44,00;-1,00;0,00;0,00
2020-04-18 11:44:21;100;2078251,00;66923,00;14915,00;18510,00;11234,00;6754,00;3273,00;3032,00;23,00;64,00;-1,00;0,00;0,00
2020-04-18 11:44:22;100;11560,00;6773,00;4495,00;2376,00;3139,00;3880,00;1503,00;577,00;40,00;75,00;34,00;0,00;0,00
2020-04-18 11:44:23;100;668705,00;48025,00;13027,00;6417,00;15073,00;2339,00;2901,00;1175,00;34,00;63,00;121,00;0,00;0,00
2020-04-18 11:44:24;100;124725,00;26927,00;3874,00;3938,00;2040,00;1392,00;571,00;333,00;35,00;54,00;-1,00;0,00;0,00
2020-04-18 11:44:25;100;244762,00;22213,00;3041,00;4042,00;8733,00;8407,00;2438,00;2572,00;51,00;43,00;-1,00;0,00;0,00
2020-04-18 11:44:26;100;14244,00;16556,00;4432,00;8000,00;12659,00;7077,00;4084,00;1910,00;70,00;47,00;-1,00;0,00;0,00
2020-04-18 11:44:28;100;32751,00;45626,00;10766,00;18369,00;27490,00;8256,00;11667,00;5503,00;83,00;51,00;-1,00;0,00;0,00
2020-04-18 11:44:29;100;30853,00;15703,00;9035,00;4969,00;8778,00;10099,00;11337,00;5450,00;83,00;80,00;-1,00;2,27;-15,75
2020-04-18 11:44:30;100;323082,00;26732,00;1886,00;3510,00;17633,00;9994,00;9435,00;4130,00;84,00;54,00;-1,00;0,00;0,00
